基金代码,基金名称,一年回报率,两年回报率,三年回报率,五年回报率,总回报率
165509,信诚增强收益债券 (LOF),1.40,9.25,13.88,10.33,62.14
161216,国投瑞银双债增利债券A,2.51,5.39,12.88,10.32,63.21
162712,广发聚利债券(LOF),0.14,10.38,13.83,10.06,72.02
200013,长城积极增利债券 - A,0.82,6.32,11.10,9.60,52.42
164808,工银四季收益债券(LOF),1.03,5.39,10.69,9.46,63.03
200113,长城积极增利债券 - C,0.39,5.83,10.64,9.14,48.63
090002,大成债券 - A/B,0.97,6.56,13.80,9.17,158.28
233005,大摩强收益债券,4.34,8.73,11.01,8.97,69.78
092002,大成债券 - C,0.66,6.22,13.42,8.81,106.60
530008,建信稳定增利债券C,0.06,5.35,11.64,8.33,103.02
121009,国投瑞银稳定增利债券,1.56,5.31,11.53,8.10,84.14
166008,中欧增强回报债券(LOF) -A,1.17,6.98,10.08,8.13,45.70
165311,建信信用增强债券（LOF）A,0.15,5.86,9.80,8.09,54.18
217011,招商安心收益债券,2.94,6.08,11.33,7.98,77.42
160617,鹏华丰润债券(LOF),2.26,5.93,10.14,7.82,50.12
180025,银华信用双利债券 - A,1.93,8.07,11.42,7.86,44.95
519186,万家稳健增利债券 - A,1.59,5.41,9.71,7.76,61.99
420102,天弘永利债券 - B,3.61,8.29,9.14,7.46,64.51
202103,南方多利增强债券 - A,0.62,5.55,8.83,7.31,61.16
290009,泰信周期回报债券,1.45,5.12,7.13,7.44,43.73
180026,银华信用双利债券 - C,1.47,7.69,11.05,7.48,41.73
020002,国泰金龙债券A,2.70,5.44,8.38,7.38,110.25
519187,万家稳健增利债券 - C,1.22,5.02,9.28,7.34,57.49
160217,国泰信用互利分级债券,3.88,5.96,8.56,7.23,42.21
202102,南方多利增强债券 - C,0.31,5.24,8.50,7.00,75.55
040019,华安稳固收益债券C,-1.56,2.31,9.97,7.13,47.77
161010,富国天丰强化债券(LOF),0.24,8.72,10.52,7.09,83.34
161813,银华信用债券 (LOF),0.24,5.91,8.57,7.11,50.76
020012,国泰金龙债券C,2.42,5.11,8.05,7.04,57.91
420002,天弘永利债券 - A,3.23,7.96,8.75,7.04,58.71
253020,国联安增利债券A,0.85,6.37,8.46,6.82,64.18
100058,富国产业债债券,0.44,3.81,8.47,6.70,40.25
519667,银河银信添利债券 - A,3.51,6.45,9.29,6.81,60.07
206003,鹏华信用增利债券 - A,6.66,8.12,9.46,6.80,41.31
253021,国联安增利债券B,0.47,5.95,8.06,6.48,59.36
160602,鹏华普天债券 - A,-0.46,6.46,9.61,6.51,108.40
206004,鹏华信用增利债券 - B,6.53,8.21,9.42,6.66,39.43
395001,中海稳健收益债券,-2.05,3.45,7.81,6.30,70.65
163806,中银增利债券,2.47,6.02,9.39,6.32,62.99
519078,汇添富增强收益债券A,1.74,5.35,8.25,6.35,62.52
288102,华夏稳定双利债券,0.00,6.49,8.78,6.32,121.46
161603,融通债券 - A/B,0.00,5.19,7.42,6.28,104.55
040026,华安信用四季红债券,3.30,7.15,7.66,6.36,38.40
519666,银河银信添利债券 - B,3.11,6.04,8.86,6.39,74.24
550006,信诚经典优债债券 - A,2.76,5.45,7.56,6.17,45.73
206008,鹏华丰盛债券,4.68,5.84,8.10,6.34,36.23
582002,东吴增利债券A,6.01,7.01,9.02,6.11,38.16
160608,鹏华普天债券 - B,-0.81,6.03,9.22,6.08,78.75
240003,华宝兴业宝康债券,3.10,6.29,7.23,6.11,134.79
470078,汇添富增强收益债券C,1.35,5.01,7.96,6.03,44.91
070025,嘉实信用债券A,0.92,8.41,9.11,5.91,38.75
371020,上投摩根纯债债券 - A,0.95,4.76,8.77,5.91,38.60
