基金代码,基金名称,一年排名,一年百分比排名,两年排名,两年百分比排名,三年排名,三年百分比排名,五年排名,五年百分比排名
165509,信诚增强收益债券 (LOF),81,43.78,4,2.40,3,2.14,1,1.19
161216,国投瑞银双债增利债券A,29,15.68,73,43.71,10,7.14,2,2.38
162712,广发聚利债券(LOF),143,77.30,2,1.20,4,2.86,3,3.57
200013,长城积极增利债券 - A,96,51.89,43,25.75,18,12.86,4,4.76
164808,工银四季收益债券(LOF),100,54.05,81,48.50,25,17.86,5,5.95
200113,长城积极增利债券 - C,117,63.24,59,35.33,24,17.14,6,7.14
090002,大成债券 - A/B,107,57.84,60,35.93,1,0.71,7,8.33
233005,大摩强收益债券,14,7.57,7,4.19,19,13.57,8,9.52
092002,大成债券 - C,121,65.41,83,49.70,5,3.57,9,10.71
530008,建信稳定增利债券C,145,78.38,74,44.31,16,11.43,10,11.90
121009,国投瑞银稳定增利债券,70,37.84,80,47.90,15,10.71,11,13.10
166008,中欧增强回报债券(LOF) -A,97,52.43,29,17.37,39,27.86,12,14.29
165311,建信信用增强债券（LOF）A,153,82.70,65,38.92,43,30.71,13,15.48
217011,招商安心收益债券,39,21.08,53,31.74,13,9.29,14,16.67
160617,鹏华丰润债券(LOF),36,19.46,62,37.13,35,25.00,15,17.86
180025,银华信用双利债券 - A,66,35.68,16,9.58,17,12.14,16,19.05
519186,万家稳健增利债券 - A,83,44.86,78,46.71,48,34.29,17,20.24
420102,天弘永利债券 - B,21,11.35,12,7.19,60,42.86,18,21.43
202103,南方多利增强债券 - A,113,61.08,63,37.72,62,44.29,19,22.62
290009,泰信周期回报债券,91,49.19,91,54.49,106,75.71,20,23.81
180026,银华信用双利债券 - C,80,43.24,21,12.57,21,15.00,21,25.00
020002,国泰金龙债券A,47,25.41,76,45.51,83,59.29,22,26.19
519187,万家稳健增利债券 - C,102,55.14,99,59.28,59,42.14,23,27.38
160217,国泰信用互利分级债券,15,8.11,50,29.94,77,55.00,24,28.57
202102,南方多利增强债券 - C,125,67.57,84,50.30,72,51.43,25,29.76
040019,华安稳固收益债券C,182,98.38,156,93.41,41,29.29,26,30.95
161010,富国天丰强化债券(LOF),146,78.92,8,4.79,31,22.14,27,32.14
