基金代码,基金名称,晨星代码,三年评级,五年评级,波动幅度,波动幅度评价,晨星风险系数,晨星风险系数评价,夏普比率,夏普比率评价
000280,博时双债增强债券A,0P0000Z9TZ,2,0,3.65,偏低,2.09,中,1.14,低
000281,博时双债增强债券C,0P0000Z9U0,2,0,3.60,偏低,2.07,中,1.08,低
160617,鹏华丰润债券(LOF),0P0000Q72P,4,4,4.47,中,1.52,偏低,1.92,中
541005,汇丰晋信平稳增利债券C,0P0000TGYA,1,2,2.32,低,1.43,偏低,1.30,偏低
540005,汇丰晋信平稳增利债券A,F0000004DU,2,2,2.33,低,1.39,偏低,1.49,偏低
160608,鹏华普天债券 - B,F0000003ZT,3,3,4.29,中,2.13,中,1.78,中
395001,中海稳健收益债券,F00000049F,3,3,4.44,中,1.91,偏低,1.48,偏低
160602,鹏华普天债券 - A,F020206101,3,3,4.27,中,2.15,中,1.87,中
291007,泰信增强收益 - C,F0000004GD,2,2,2.89,低,1.03,低,1.39,偏低
206018,鹏华产业债债券,0P0000XUIE,3,0,3.76,偏低,1.43,偏低,2.24,高
540001,汇丰晋信2016周期,F0000003ZI,3,2,5.95,高,2.89,中,1.28,低
290007,泰信增强收益 - A,F0000004GC,2,3,2.88,低,0.98,低,1.53,偏低
000356,南方丰元信用增强债券 - C,0P0000ZR3D,2,0,4.22,偏低,2.58,中,1.34,偏低
163819,中银信用增利债券 (LOF),0P00015VSW,4,0,3.52,偏低,1.23,低,2.37,高
000014,华夏聚利债券,0P0000Y35F,2,0,2.72,低,1.61,偏低,1.48,偏低
000355,南方丰元信用增强债券 - A,0P0000ZR3C,3,0,4.23,偏低,2.53,中,1.42,偏低
288102,华夏稳定双利债券,F000000407,3,3,5.08,中,2.33,中,1.41,偏低
092002,大成债券 - C,F0000003ZN,5,4,8.76,高,4.23,高,1.34,偏低
090002,大成债券 - A/B,F020090002,5,5,8.77,高,4.20,高,1.38,偏低
164808,工银四季收益债券(LOF),0P00011WRZ,4,5,5.19,中,2.48,中,1.73,中
200113,长城积极增利债券 - C,0P0000SLRO,4,5,4.30,中,1.69,偏低,2.09,中
000053,鹏华实业债纯债债券,0P0000YCVT,4,0,10.29,高,4.85,高,1.05,低
253061,国联安信心增长债券B,0P0000V1OE,1,0,6.03,高,3.37,高,0.42,低
530008,建信稳定增利债券C,F0000004AC,5,4,4.50,中,1.46,偏低,2.19,高
200013,长城积极增利债券 - A,0P0000SLRN,4,5,4.30,中,1.66,偏低,2.19,中
550018,信诚优质纯债 - A,0P0000XUWH,4,0,8.42,高,3.75,高,1.11,低
550019,信诚优质纯债 - B,0P0000XUWI,4,0,8.42,高,3.80,高,1.04,低
253060,国联安信心增长债券A,0P0000V1OD,1,0,5.95,高,3.21,高,0.54,低
270030,广发聚财信用债券B,0P0000VC67,5,0,7.38,高,3.14,高,1.54,偏低
163806,中银增利债券,F0000004DH,3,3,3.46,偏低,1.50,偏低,2.31,高
070026,嘉实信用债券C,0P0000TT9Q,3,2,4.06,偏低,1.91,偏低,1.75,中
217203,招商安泰债券 - B,F0000003ZH,2,2,3.17,偏低,1.42,偏低,1.78,中
550007,信诚经典优债债券 - B,F0000004EJ,2,3,5.95,高,3.44,高,0.95,低
395012,中海增强收益债券 - C,0P0000SHVT,2,2,7.58,高,4.78,高,0.70,低
550006,信诚经典优债债券 - A,F0000004EI,2,3,5.95,高,3.39,高,1.00,低
161693,融通债券 - C,0P0000VG0W,2,0,4.45,中,2.92,中,1.23,低
217003,招商安泰债券 - A,F020217003,3,2,3.17,偏低,1.38,偏低,1.91,中
206015,鹏华纯债债券,0P0000WLGM,3,0,7.14,高,3.51,高,1.08,低
001003,华夏债券 - C,F0000003ZF,2,2,2.99,低,1.94,中,1.45,偏低
040019,华安稳固收益债券C,0P0000RROK,3,3,5.59,中,2.25,中,1.49,偏低
270029,广发聚财信用债券A,0P0000VC66,5,0,7.40,高,3.15,高,1.57,偏低
161603,融通债券 - A/B,F020161001,2,3,4.42,中,2.85,中,1.33,偏低
