基金代码,基金名称,晨星代码,三年评级,五年评级,波动幅度,波动幅度评价,晨星风险系数,晨星风险系数评价,夏普比率,夏普比率评价
001023,华夏亚债中国指数C,0P0000SWB3,3,0,3.43,中,1.98,中,1.18,低
001021,华夏亚债中国指数A,0P0000SWB2,3,0,3.46,中,1.98,中,1.26,低
000088,嘉实中证金边中期国债ETF联接C,0P0000YF0C,1,0,2.62,低,1.66,偏低,0.58,低
460008,华泰柏瑞稳健收益债券A,0P0000X8GU,4,0,3.67,中,1.73,中,1.64,偏低
000087,嘉实中证金边中期国债ETF联接A,0P0000YF0B,1,0,2.63,偏低,1.65,偏低,0.61,低
159926,嘉实中证中期国债ETF,0P0000YI7W,2,0,2.58,低,1.60,偏低,0.95,低
460108,华泰柏瑞稳健收益债券C,0P0000X8GV,4,0,3.67,中,1.76,中,1.55,偏低
160721,嘉实中证中期企业债指数 (LOF) - C,0P0000XSUX,3,0,3.47,中,2.13,中,1.32,偏低
519718,交银纯债债券发起 - A/B,0P0000XIBC,2,0,3.92,高,2.70,高,0.97,低
160720,嘉实中证中期企业债指数 (LOF) - A,0P0000XSUT,3,0,3.43,中,2.15,中,1.26,低
519720,交银纯债债券发起 - C,0P0000XIBD,2,0,3.91,高,2.78,高,0.85,低
100068,富国纯债债券发起 - C,0P0000X7PQ,2,0,2.70,偏低,1.69,偏低,1.58,偏低
511010,国泰上证5年期国债ETF,0P0000Y0TB,2,0,2.62,低,1.53,偏低,1.20,低
511210,博时上证企业债30ETF,0P0000YZVM,2,0,1.71,低,0.60,低,2.35,高
485019,工银信用纯债债券B,0P0000X6LH,2,0,4.93,高,3.87,高,0.86,低
485119,工银信用纯债债券A,0P0000X6LG,3,0,4.91,高,3.78,高,0.94,低
202108,南方润元纯债债券 - A/B,0P0000WB8A,3,0,4.36,高,2.79,高,1.29,低
161822,银华中证中票50指数债券 - C,0P0000X9YC,3,0,3.51,中,2.19,高,1.28,低
202110,南方润元纯债债券 - C,0P0000WB8B,3,0,4.33,高,2.81,高,1.21,低
000023,南方中债中期票据指数债券发起式 - C,0P0000YC63,1,0,2.67,偏低,1.63,偏低,0.91,低
000022,南方中债中期票据指数债券发起式 - A,0P0000YC62,1,0,2.67,偏低,1.59,偏低,1.00,低
000015,华夏纯债债券A,0P0000Y1WF,3,0,3.33,中,2.11,中,1.41,偏低
000016,华夏纯债债券C,0P0000Y1WG,3,0,3.33,中,2.17,中,1.31,低
000396,汇添富安心中国债券C,0P0000ZVRD,1,0,2.00,低,1.15,低,1.24,低
161821,银华中证中票50指数债券 - A,0P0000X9YB,3,0,3.46,中,2.13,中,1.39,偏低
000194,银华信用四季红债券,0P0000Z3OW,5,0,3.43,中,1.23,低,2.52,高
100066,富国纯债债券发起 - A/B,0P0000X7PP,3,0,2.71,偏低,1.66,偏低,1.74,中
162715,广发聚源债券(LOF)A,0P0000YGCA,3,0,3.73,高,2.28,高,1.11,低
162716,广发聚源债券(LOF)C,0P0000YGCB,2,0,3.68,高,2.30,高,1.02,低
270049,广发纯债债券C,0P0000XB5Q,5,0,5.57,高,2.68,高,1.69,中
270048,广发纯债债券A,0P0000XB5P,5,0,5.60,高,2.72,高,1.70,中
000395,汇添富安心中国债券A,0P0000ZVRC,1,0,1.98,低,1.13,低,1.31,偏低
000192,富国信用债债券 - C,0P0000YVNL,3,0,2.92,偏低,1.55,偏低,2.05,中
519985,长信纯债壹号债券A,0P0000O8U4,3,0,3.16,偏低,1.59,偏低,1.63,偏低
000302,国泰淘金互联网债券,0P0000ZT7Y,2,0,1.73,低,0.77,低,1.94,中
000191,富国信用债债券 -A/B,0P0000YVNK,4,0,2.90,偏低,1.48,偏低,2.22,高
000052,长盛纯债 - C,0P0000Y3WU,4,0,4.08,高,2.52,高,1.39,偏低
161820,银华纯债信用主题债券(LOF),0P0000WG8B,4,0,3.31,中,1.62,偏低,2.17,高
000253,景顺长城景兴信用纯债 - C,0P0000Z5UM,3,0,3.53,中,2.26,高,1.54,偏低
000252,景顺长城景兴信用纯债 - A,0P0000Z5UL,4,0,3.52,中,2.22,高,1.66,偏低
121013,国投瑞银纯债债券A,0P0000XB5N,4,0,2.31,低,1.01,低,2.32,高
070038,嘉实纯债债券 - C,0P0000XF7R,2,0,2.24,低,1.15,低,1.84,中
380005,中银纯债债券 - A,0P0000XBR4,3,0,2.99,偏低,1.44,低,1.83,中
000050,长盛纯债 - A,0P0000Y3WT,4,0,4.11,高,2.51,高,1.44,偏低
167701,德邦德信中证中高收益企债指数分级,0P0000YA26,3,0,3.37,中,1.86,中,1.54,偏低
000206,易方达投资级信用债债券 - C,0P0000ZABS,4,0,3.60,中,2.07,中,1.85,中
380006,中银纯债债券 - C,0P0000XBR5,3,0,3.08,偏低,1.63,偏低,1.65,偏低
000084,博时安盈债券A,0P0000YCIN,1,0,2.15,低,1.72,中,0.93,低
000305,中银中高等级债券,0P0000ZVRE,4,0,2.87,偏低,1.45,偏低,1.98,中
000085,博时安盈债券C,0P0000YCIO,1,0,2.13,低,1.74,中,0.73,低
000032,易方达信用债 - A,0P0000Y9T5,4,0,3.27,偏低,1.95,中,1.94,中
000033,易方达信用债 - C,0P0000Y9T6,4,0,3.27,偏低,1.99,中,1.81,中
000153,大成景旭纯债债券C,0P0000Z18Q,4,0,3.60,中,1.89,中,1.90,中
000205,易方达投资级信用债债券 - A,0P0000ZABR,4,0,3.65,中,2.13,中,1.90,中
110038,易方达纯债债券 - C,0P0000VQ05,2,0,3.28,偏低,1.95,中,1.45,偏低
531021,建信纯债债券C,0P0000X6LF,3,0,3.29,偏低,1.67,偏低,1.57,偏低
128013,国投瑞银纯债债券B,0P0000XB5O,4,0,2.27,低,0.96,低,2.44,高
000188,华泰柏瑞丰盛纯债债券C,0P0000Z8RE,2,0,2.75,偏低,1.63,偏低,1.49,偏低
530021,建信纯债债券A,0P0000X6LE,4,0,3.34,中,1.66,偏低,1.66,中
000187,华泰柏瑞丰盛纯债债券A,0P0000Z8RD,3,0,2.67,偏低,1.53,偏低,1.66,偏低
070037,嘉实纯债债券 - A,0P0000XF7Q,2,0,2.21,低,1.15,低,1.92,中
110037,易方达纯债债券 - A,0P0000VQ04,3,0,3.30,中,1.94,中,1.54,偏低
000152,大成景旭纯债债券A,0P0000Z18P,5,0,3.55,中,1.81,中,2.01,中
000141,富国国有企业债债券 - C,0P0000ZD5L,3,0,2.50,低,1.42,低,1.83,中
000186,华泰柏瑞季季红债券,0P0000ZR3A,3,0,3.46,中,2.08,中,1.32,偏低
040040,华安纯债债券A,0P0000XSUR,2,0,2.35,低,1.03,低,1.62,偏低
040041,华安纯债债券C,0P0000XSUS,2,0,2.33,低,0.93,低,1.65,偏低
161120,易方达中债新综合债券指数发起式(LOF) - C,0P0000X1PC,3,0,3.04,偏低,1.48,偏低,1.68,中
000139,富国国有企业债债券 - A/B,0P0000ZD5K,3,0,2.46,低,1.35,低,2.04,中
161119,易方达中债新综合债券指数发起式(LOF) - A,0P0000X1PB,4,0,3.04,偏低,1.44,低,1.78,中
000147,易方达高等级信用债债券 - A,0P0000Z69Q,3,0,3.37,中,2.22,高,1.33,偏低
000148,易方达高等级信用债债券 - C,0P0000Z69R,2,0,3.32,中,2.21,高,1.23,低
519153,新华纯债添利债券 - C,0P0000XF7P,5,0,2.85,偏低,0.26,低,2.55,高
000128,大成景安短融债券A,0P0000YLHZ,2,0,1.62,低,0.60,低,2.22,高
000129,大成景安短融债券B,0P0000YLI0,2,0,1.60,低,0.54,低,2.50,高
519152,新华纯债添利债券 - A,0P0000XF7O,5,0,2.88,偏低,0.26,低,2.66,高
050027,博时信用债纯债债券A,0P0000WM6L,5,0,3.13,偏低,1.54,偏低,2.58,高
