基金代码,基金名称,一年回报率,两年回报率,三年回报率,五年回报率,总回报率
161608,融通易支付货币 - A,2.37,2.75,3.36,3.67,40.58
370011,上投摩根货币 - B,2.36,2.51,2.99,3.13,34.82
370010,上投摩根货币 - A,2.14,2.29,2.77,2.90,31.24
519509,浦银安盛货币 - A,2.68,2.91,3.52,3.70,24.21
519510,浦银安盛货币 - B,2.93,3.16,3.77,3.95,26.01
290001,泰信天天收益货币A,2.33,2.85,3.30,3.56,45.07
519508,万家货币 - A,2.50,2.80,3.34,3.74,43.57
350004,天治天得利货币,2.30,2.72,3.22,3.60,38.58
310338,申万菱信收益宝货币 - A,2.45,2.75,3.24,3.34,33.05
162206,泰达宏利货币 - A,2.51,3.09,3.61,3.82,39.62
260202,景顺长城货币 - B,2.54,2.84,3.34,3.50,23.72
260102,景顺长城货币 - A,2.29,2.59,3.09,3.25,35.30
160606,鹏华货币 - A,2.55,2.83,3.27,3.61,41.78
160609,鹏华货币 - B,2.80,3.08,3.51,3.86,41.44
202302,南方现金增利货币 - B,2.85,3.30,3.87,4.19,33.19
202301,南方现金增利货币 - A,2.60,3.05,3.62,3.94,51.04
660007,农银货币 - A,2.55,3.03,3.58,3.83,26.36
320002,诺安货币 - A,2.50,2.80,3.28,3.47,41.63
660107,农银货币 - B,2.80,3.28,3.83,4.08,28.27
217014,招商现金增值货币 - B,2.88,3.24,3.71,3.98,29.99
217004,招商现金增值货币 - A,2.63,2.99,3.46,3.73,46.44
392002,中海货币B,2.77,3.18,3.79,3.95,27.97
392001,中海货币A,2.52,2.93,3.54,3.70,25.98
180008,银华货币 - A,2.57,3.02,3.51,3.64,40.69
180009,银华货币 - B,2.82,3.27,3.76,3.89,44.81
163802,中银货币 - A,2.49,2.81,3.33,3.63,42.95
550010,信诚货币 - A,2.48,2.81,3.39,3.73,24.19
340005,兴全货币,3.03,3.47,3.86,3.89,38.89
550011,信诚货币 - B,2.73,3.06,3.64,3.98,25.95
560001,益民货币,1.98,2.62,3.29,3.16,31.09
150015,银河银富货币 - B,2.63,2.96,3.65,3.89,41.23
150005,银河银富货币 - A,2.38,2.71,3.40,3.64,43.42
110016,易方达货币 - B,2.76,2.96,3.59,3.95,43.23
110006,易方达货币 - A,2.50,2.71,3.34,3.70,43.99
482002,工银货币,2.77,3.20,3.69,3.92,41.88
100028,富国天时货币B,2.71,3.30,3.70,3.84,39.61
100025,富国天时货币A,2.46,3.06,3.45,3.59,37.51
400005,东方金账簿货币A,2.75,3.08,3.61,3.86,40.52
583101,东吴货币B,2.87,3.21,3.43,3.45,24.45
583001,东吴货币A,2.63,2.96,3.24,3.23,22.63
270014,广发货币B,2.84,3.26,3.85,4.11,32.48
270004,广发货币A,2.60,3.02,3.60,3.86,43.43
360003,光大保德信货币,2.64,3.03,3.44,3.57,39.75
050003,博时现金收益货币A,2.50,2.89,3.45,3.77,49.75
213009,宝盈货币A,2.67,3.06,3.72,3.83,27.84
213909,宝盈货币B,2.92,3.31,3.97,4.08,30.17
091005,大成货币B,2.85,3.02,3.54,3.72,44.50
090005,大成货币A,2.60,2.77,3.30,3.47,40.49
080011,长盛货币,2.74,3.33,3.87,3.88,41.79
200003,长城货币 - A,2.62,3.17,3.72,3.85,43.03
519998,长信利息收益货币 - B,2.95,3.33,3.63,3.82,26.84
519999,长信利息收益货币 - A,2.70,3.09,3.38,3.57,47.92
519517,汇添富货币B,2.75,2.91,3.44,3.80,39.05
519518,汇添富货币A,2.50,2.67,3.19,3.55,38.97
070029,嘉实安心货币B,2.41,2.58,3.07,3.14,17.12
070028,嘉实安心货币A,2.16,2.34,2.82,2.89,15.69
288101,华夏货币A,2.56,2.91,3.51,3.81,47.10
541011,汇丰晋信货币B,2.29,2.41,2.82,2.89,16.51
540011,汇丰晋信货币A,2.05,2.17,2.57,2.65,15.02
003003,华夏现金增利货币 - A/E,2.49,3.01,3.63,3.91,50.90
519589,交银货币 - B,2.74,2.97,3.49,3.69,36.45
519588,交银货币 - A,2.49,2.73,3.24,3.44,37.19
070008,嘉实货币A,2.61,3.23,3.77,3.93,47.57
530002,建信货币A,2.52,2.87,3.35,3.69,40.73
128011,国投瑞银货币B,2.75,3.01,3.53,3.83,29.67
121011,国投瑞银货币A,2.50,2.76,3.28,3.58,27.21
519505,海富通货币A,2.55,3.05,3.61,3.71,46.11
519506,海富通货币B,2.80,3.30,3.86,3.96,44.67
253050,国联安货币A,2.56,2.84,3.15,3.39,22.02
253051,国联安货币B,2.81,3.08,3.40,3.64,23.82
020007,国泰货币,2.74,3.21,3.53,3.63,39.60
460106,华泰柏瑞货币B,2.76,3.22,3.76,3.90,26.66
460006,华泰柏瑞货币A,2.51,2.97,3.51,3.65,24.33
240007,华宝兴业现金宝货币B,2.84,3.07,3.58,3.89,45.16
040003,华安现金富利货币A,2.47,2.81,3.34,3.60,46.96
240006,华宝兴业现金宝货币A,2.59,2.82,3.33,3.64,41.09
041003,华安现金富利货币B,2.72,3.06,3.59,3.85,28.73
410002,华富货币,2.49,2.87,3.47,3.77,41.65
