基金代码,基金名称,晨星代码,三年评级,五年评级,波动幅度,波动幅度评价,晨星风险系数,晨星风险系数评价,夏普比率,夏普比率评价
159915,易方达创业板ETF,0P0000TS9U,1,4,40.87,高,26.18,高,0.33,低
159906,大成深证成长40ETF,0P0000RT0V,2,2,29.76,偏低,19.05,中,0.34,低
159918,嘉实中创400ETF,0P0000VDVH,2,0,40.89,高,26.30,高,0.43,低
159921,诺安中小板等权重ETF,0P0000X9Y9,2,0,32.90,高,21.27,高,0.34,低
159911,鹏华深证民营ETF,0P0000TPYZ,2,2,31.46,中,21.70,高,0.33,低
159907,广发中小板300ETF,0P0000SYA0,2,2,36.26,高,23.29,高,0.45,低
159926,嘉实中证中期国债ETF,0P0000YI7W,2,0,2.58,低,1.60,偏低,0.95,低
159909,招商深证TMT50ETF,0P0000T398,1,4,35.61,高,23.52,高,0.30,低
159902,华夏中小企业板ETF,F0000003ZW,2,2,33.88,高,21.88,高,0.36,低
511010,国泰上证5年期国债ETF,0P0000Y0TB,2,0,2.62,低,1.53,偏低,1.20,低
511210,博时上证企业债30ETF,0P0000YZVM,2,0,1.71,低,0.60,低,2.35,高
512120,华安中证细分医药ETF,0P0000ZWBP,2,0,27.46,低,18.12,偏低,0.44,低
159929,汇添富中证医药卫生ETF,0P0000Z3OU,2,0,28.19,低,18.76,中,0.45,低
159903,南方深证成份ETF,F0000004HR,2,1,30.87,中,20.47,中,0.44,低
512010,易方达沪深300医药卫生ETF,0P0000ZD5J,3,0,23.11,低,15.11,低,0.58,偏低
159912,汇添富深证300ETF,0P0000TV13,2,2,29.92,中,20.38,中,0.48,偏低
159932,大成中证500深市ETF,0P0000ZAQ4,3,0,33.69,高,22.14,高,0.53,偏低
159935,景顺长城中证500ETF,0P000111LV,3,0,32.51,高,21.53,高,0.56,偏低
510660,华夏上证医药卫生ETF,0P0000Y2Z8,3,0,29.23,偏低,19.01,中,0.50,偏低
510500,南方中证500ETF,0P0000XU4F,4,0,32.98,高,21.45,高,0.64,中
510510,广发中证500ETF,0P0000Y7WY,3,0,32.89,高,21.89,高,0.58,偏低
159922,嘉实中证500ETF,0P0000XSUQ,3,0,32.54,高,21.54,高,0.61,中
159901,易方达深证100ETF,F0000003YW,3,2,28.47,低,19.08,中,0.54,偏低
510150,招商上证消费80ETF,0P0000Q7SD,3,4,25.84,低,17.27,偏低,0.59,偏低
510070,鹏华上证民企50ETF,0P0000OX27,3,4,27.59,低,18.79,中,0.54,偏低
510630,华夏上证主要消费ETF,0P0000Y2ZB,4,0,24.77,低,15.65,低,0.73,高
510290,南方上证380ETF,0P0000TVGM,3,4,32.50,高,21.59,高,0.67,高
159924,景顺长城沪深300等权重ETF,0P0000YA29,3,0,28.84,偏低,18.88,中,0.60,中
159931,汇添富中证金融地产ETF,0P0000Z3OS,4,0,34.67,高,17.67,偏低,0.67,高
510440,大成中证500沪市ETF,0P0000WLD2,3,0,31.31,中,21.39,高,0.57,偏低
510280,华宝兴业上证180成长ETF,0P0000TKYP,3,3,29.42,偏低,16.87,低,0.62,中
159928,汇添富中证主要消费ETF,0P0000Z3OV,4,0,24.50,低,15.39,低,0.72,高
159913,交银深证300价值ETF,0P0000TXCN,4,3,28.60,偏低,18.21,偏低,0.67,高
510190,华安上证龙头ETF,0P0000Q5NS,4,3,28.49,低,18.69,中,0.68,高
159927,鹏华沪深300ETF,0P0000YYS6,3,0,29.74,偏低,17.89,偏低,0.57,偏低
510220,华泰柏瑞上证中小盘ETF,0P0000RYNX,3,3,31.04,中,20.80,中,0.59,偏低
510260,诺安上证新兴产业ETF,0P0000SKYM,2,2,34.16,高,22.64,高,0.46,偏低
510300,华泰柏瑞沪深300ETF,0P0000VRYR,3,0,29.59,偏低,17.58,偏低,0.62,中
159933,国投瑞银金融地产ETF,0P0000ZDIQ,4,0,35.28,高,17.26,偏低,0.69,高
159919,嘉实沪深300ETF,0P0000VRLG,3,0,29.78,偏低,17.75,偏低,0.63,中
510330,华夏沪深300ETF,0P0000XQ76,4,0,29.40,偏低,17.61,偏低,0.66,中
510310,易方达沪深300ETF发起式,0P0000Y00C,3,0,29.74,偏低,17.71,偏低,0.63,中
510650,华夏金融ETF,0P0000Y2Z9,4,0,34.02,高,16.72,低,0.65,中
510230,国泰上证180金融ETF,0P0000SJBP,4,4,35.24,高,17.06,偏低,0.66,高
159925,南方开元沪深300ETF,0P0000Y2ZC,3,0,29.83,偏低,17.77,偏低,0.63,中
510210,富国上证综指ETF,0P0000S0NX,4,3,28.42,低,17.54,偏低,0.65,中
159934,易方达黄金ETF,0P0000ZS9R,0,0,14.71,偏低,9.17,偏低,0.12,低
518880,华安易富黄金ETF,0P0000Z04X,0,0,14.78,中,9.20,中,0.13,高
510050,华夏上证50ETF,F0000003X3,3,3,31.41,中,16.39,低,0.64,中
518800,国泰黄金ETF,0P0000Z04Y,0,0,14.81,高,9.20,高,0.13,中
510110,海富通上证周期ETF,0P0000PRB7,3,2,33.11,高,16.77,低,0.60,中
510120,海富通上证非周期ETF,0P0000SPC5,3,3,32.53,高,20.20,中,0.55,偏低
510420,景顺长城上证180等权重ETF,0P0000VYEH,3,0,29.66,偏低,19.37,中,0.61,中
510090,建信上证社会责任ETF,0P0000NQ8U,4,4,29.89,中,16.17,低,0.71,高
510430,银华上证50等权ETF,0P0000WJ0B,3,0,31.46,中,18.03,偏低,0.58,偏低
159923,大成中证100ETF,0P0000XWVD,3,0,31.29,中,16.47,低,0.62,中
510180,华安上证180ETF,F0000003Z5,3,3,30.82,中,17.55,偏低,0.64,中
510010,交银上证180公司治理ETF,F0000004H5,3,3,32.83,高,17.70,偏低,0.63,中
510270,中银上证国企100ETF,0P0000T3GX,3,2,32.11,中,17.29,偏低,0.63,中
510020,博时上证超级大盘ETF,F0000004I8,4,2,29.88,中,16.16,低,0.67,高
510030,华宝兴业上证180价值ETF,F0000004J5,5,4,30.70,中,14.69,低,0.79,高
510130,易方达上证中盘ETF,F0000004IU,3,3,30.41,中,19.61,中,0.61,中
159905,工银深证红利ETF,0P0000Q38M,4,3,30.79,中,17.66,偏低,0.76,高
159908,博时深证基本面200ETF,0P0000SXP3,5,4,27.72,低,16.92,低,0.82,高
510160,南方中证南方小康产业ETF,0P0000P6NA,4,3,36.14,高,18.77,中,0.72,高
510880,华泰柏瑞上证红利ETF,F00000041G,4,4,28.44,低,17.02,偏低,0.78,高
510060,工银上证央企50ETF,F0000004GP,3,2,35.38,高,17.69,偏低,0.62,中
510170,国联安上证大宗商品股票ETF,0P0000Q6QQ,2,1,28.65,偏低,20.51,中,0.45,偏低
510410,博时上证自然资源ETF,0P0000VH6V,1,0,29.28,偏低,21.02,中,0.38,低
159910,嘉实深证基本面120ETF,0P0000TKOF,5,4,28.46,低,16.89,低,0.84,高
159930,汇添富中证能源ETF,0P0000Z3OT,1,0,25.84,低,18.50,偏低,0.12,低
159916,建信深证基本面60ETF,0P0000TSI2,5,4,28.85,偏低,16.45,低,0.85,高
