基金代码,基金名称,一年回报率,两年回报率,三年回报率,五年回报率,总回报率
320015,诺安保本混合,4.07,5.63,7.97,7.99,52.41
620007,金元顺安保本混合A,0.09,1.64,0.60,1.55,10.24
210006,金鹰保本混合A,3.69,6.26,1.40,2.34,15.52
202211,南方恒元保本混合,14.01,12.49,11.24,7.62,74.86
202212,南方保本混合,11.22,12.77,13.32,9.25,59.97
202202,南方避险增值混合,2.85,7.94,10.87,7.45,416.48
163411,兴全保本混合,7.43,8.42,10.65,8.38,51.04
217020,招商安达保本混合,-0.25,0.99,7.01,7.41,53.41
180028,银华永祥保本混合,6.80,13.41,13.25,9.57,64.86
180002,银华保本增值混合,-0.02,4.38,6.86,4.30,123.09
400013,东方保本混合,1.49,4.76,3.83,3.96,23.24
487016,工银保本混合A,0.64,4.69,6.79,5.58,32.27
020022,国泰保本混合,7.12,9.51,11.64,9.41,53.46
020018,国泰金鹿保本增值混合,3.96,7.85,7.70,6.09,119.79
121010,国投瑞银瑞源保本混合,8.21,8.31,11.14,8.00,47.96
