基金代码,基金名称,一年回报率,两年回报率,三年回报率,五年回报率,总回报率
165509,信诚增强收益债券 (LOF),1.40,9.25,13.88,10.33,62.14
163110,申万菱信量化小盘股票(LOF),33.94,39.72,35.35,27.37,173.50
162712,广发聚利债券(LOF),0.14,10.38,13.83,10.06,72.02
160211,国泰中小盘成长混合(LOF),25.29,35.80,28.07,27.37,195.43
164808,工银四季收益债券(LOF),1.03,5.39,10.69,9.46,63.03
161115,易方达岁丰添利债券(LOF),2.11,11.29,21.56,14.07,100.58
166009,中欧新动力混合(LOF) -A,23.43,26.07,26.12,24.32,151.81
166008,中欧增强回报债券(LOF) -A,1.17,6.98,10.08,8.13,45.70
165311,建信信用增强债券（LOF）A,0.15,5.86,9.80,8.09,54.18
160617,鹏华丰润债券(LOF),2.26,5.93,10.14,7.82,50.12
160512,博时卓越品牌混合(LOF),38.95,31.24,27.66,23.06,141.43
164105,华富强化回报债券(LOF),5.94,8.91,16.21,11.79,71.06
160915,大成景丰债券 (LOF),-1.43,8.46,15.87,10.91,62.31
160212,国泰估值优势混合 (LOF),26.53,43.26,31.57,21.62,128.00
161010,富国天丰强化债券(LOF),0.24,8.72,10.52,7.09,83.34
161813,银华信用债券 (LOF),0.24,5.91,8.57,7.11,50.76
161219,国投瑞银新兴产业混合(LOF),9.98,27.60,21.27,20.74,161.74
162207,泰达宏利效率优选混合(LOF),6.68,-6.79,3.51,10.47,168.01
161810,银华内需精选混合(LOF),10.77,20.13,24.16,19.64,65.88
165512,信诚新机遇混合(LOF),15.74,12.78,15.87,19.67,113.30
166001,中欧新趋势混合(LOF) -A,17.78,25.93,22.82,18.74,81.75
163409,兴全绿色投资混合(LOF),10.98,6.23,12.77,18.78,113.94
161005,富国天惠成长混合(LOF),10.77,12.85,20.10,17.57,792.14
160505,博时主题行业混合(LOF),23.34,12.77,28.93,18.47,980.44
164606,华泰柏瑞信用增利债券(LOF),-0.60,5.78,4.97,3.93,22.72
160215,国泰价值经典混合(LOF),25.25,23.67,28.11,18.15,81.23
161713,招商信用添利债券(LOF),1.69,-3.65,3.41,0.61,6.48
166401,浦银安盛稳健增利债券(LOF)C,3.12,3.63,8.01,6.83,40.37
165508,信诚深度价值混合(LOF),8.19,6.75,12.63,17.06,75.60
163402,兴全趋势投资混合(LOF),14.02,17.38,24.98,16.89,1104.52
160613,鹏华盛世创新混合(LOF),18.69,16.73,20.52,16.73,154.94
160916,大成优选混合(LOF),19.32,16.50,25.33,16.24,77.65
160106,南方高增长混合(LOF),13.56,7.20,14.04,15.37,561.61
160314,华夏行业混合(LOF),8.24,9.27,12.72,14.31,56.69
162605,景顺长城鼎益混合(LOF),18.29,10.25,11.00,13.23,482.82
160105,南方积极配置混合(LOF),18.75,13.83,16.58,13.31,412.34
160311,华夏蓝筹混合(LOF),9.43,6.76,12.99,12.46,88.41
160607,鹏华价值优势混合(LOF),16.01,6.15,18.28,11.34,319.30
163801,中银中国混合(LOF),4.26,2.40,5.20,10.48,607.01
165313,建信优势动力混合(LOF),13.30,2.51,13.67,9.85,36.30
163302,大摩资源优选混合(LOF),15.94,10.08,8.01,8.76,689.31
162607,景顺长城资源垄断混合(LOF),25.42,3.37,7.59,8.14,294.25
160610,鹏华动力增长混合(LOF),10.22,5.98,7.74,8.02,95.57
162006,长城久富核心成长混合(LOF),7.42,0.33,4.63,7.32,104.41
163503,天治核心成长混合(LOF),-1.45,-3.50,3.78,7.55,186.50
166006,中欧行业成长混合(LOF) -A,13.88,9.93,14.54,7.42,16.94
160910,大成创新成长混合(LOF),2.92,-2.02,9.31,5.84,-6.57
161706,招商优质成长混合 (LOF),3.61,1.72,7.83,5.73,362.03
160805,长盛同智优势成长混合(LOF),-5.73,-6.47,6.12,5.77,80.82
162703,广发小盘成长混合(LOF),9.98,2.81,7.23,5.56,379.62
161610,融通领先成长混合(LOF),-0.69,2.64,3.14,3.50,11.00
160611,鹏华优质治理混合(LOF),2.35,-0.44,1.02,2.13,3.16
161210,国投瑞银新兴市场股票(QDII-LOF),32.71,1.44,3.31,-0.86,-7.50
