基金代码,基金名称,晨星代码,三年评级,五年评级,波动幅度,波动幅度评价,晨星风险系数,晨星风险系数评价,夏普比率,夏普比率评价
519120,浦银安盛新兴产业混合,0P0000Y0TO,0,0,41.86,高,26.81,高,0.60,偏低
000219,博时裕益灵活配置混合,0P0000Z18R,0,0,34.68,高,23.80,高,0.45,低
000410,益民服务领先灵活配置混合,0P0000ZWF1,0,0,28.60,高,11.76,中,1.16,中
519007,海富通强化回报混合,F0000003ZL,0,0,27.18,高,18.64,高,0.31,低
000165,国投瑞银策略精选混合,0P0000ZFQ2,0,0,19.48,中,10.63,中,1.28,中
160220,国泰民益灵活配置混合（LOF) A,0P00011IJ3,0,0,3.68,低,1.36,低,1.78,高
000314,招商瑞丰灵活配置混合A,0P0000ZQ32,0,0,4.24,低,1.00,低,2.46,高
000214,广发成长优选混合,0P0000ZWF2,0,0,11.63,中,8.13,中,0.52,偏低
000259,农银区间收益混合,0P0000Z6UL,0,0,22.22,中,13.96,中,0.86,偏低
000278,融通通泽灵活配置混合,0P0000Z72I,0,0,9.87,偏低,6.33,偏低,0.21,低
000178,博时灵活配置混合A,0P0000ZP8A,0,0,7.84,低,2.17,低,1.45,中
000215,广发趋势灵活配置混合,0P0000ZAPZ,0,0,9.37,偏低,3.48,偏低,1.11,中
400022,东方利群混合A,0P0000YYWJ,0,0,2.65,低,0.67,低,2.23,高
000065,国富焦点驱动灵活配置混合,0P0000YF07,0,0,9.35,偏低,1.70,低,1.56,高
750005,安信平稳增长混合A,0P0000XDGY,0,0,9.10,偏低,0.73,低,1.59,高
000390,华商优势行业混合,0P0000ZXLP,0,0,17.16,中,7.08,偏低,1.36,中
000431,鹏华品牌传承混合,0P00011JLO,0,0,3.75,低,2.83,偏低,0.53,偏低
000433,安信鑫发优选混合,0P00011GE7,0,0,26.64,中,18.30,高,0.23,低
519050,海富通养老收益混合A,0P0000YKO9,0,0,8.75,偏低,2.19,偏低,1.12,中
000408,民生加银城镇化混合,0P0000ZWNL,0,0,32.24,高,14.99,中,0.90,偏低
000029,富国宏观策略灵活配置混合,0P0000Y509,0,0,29.46,高,18.57,高,0.47,低
000242,景顺长城策略精选,0P0000Z1EK,0,0,22.27,中,15.03,高,0.57,偏低
000423,前海开源事件驱动混合A,0P0000ZXLQ,0,0,9.48,偏低,6.97,偏低,0.01,低
166020,中欧成长优选回报灵活配置混合A,0P0000Z5JV,0,0,3.71,低,1.74,低,1.58,高
519156,新华行业轮换灵活配置混合A,0P0000YRW5,0,0,28.96,高,17.45,高,1.26,中
