基金代码,基金名称,一年回报率,两年回报率,三年回报率,五年回报率,总回报率
519983,长信量化先锋混合A,37.56,43.58,45.25,29.63,170.88
470009,汇添富民营活力混合A,2.36,16.36,25.27,28.54,223.55
160211,国泰中小盘成长混合(LOF),25.29,35.80,28.07,27.37,195.43
163406,兴全合润分级混合,15.19,30.03,31.21,26.92,177.18
519704,交银先进制造混合,34.00,35.64,30.53,26.71,172.68
233009,大摩多因子精选策略混合,27.08,31.81,34.31,26.03,180.11
040025,华安科技动力混合,35.26,30.37,25.43,27.01,234.50
210004,金鹰稳健成长混合,46.85,34.73,33.26,25.97,158.36
166009,中欧新动力混合(LOF) -A,23.43,26.07,26.12,24.32,151.81
519185,万家精选混合,30.30,37.48,24.31,24.88,129.96
519069,汇添富价值精选混合A,18.27,21.83,29.85,24.00,324.53
519670,银河行业混合,6.21,3.21,12.34,22.91,251.89
240017,华宝兴业新兴产业混合,-2.10,4.50,7.51,22.44,105.08
630005,华商动态阿尔法混合,9.92,14.35,19.16,22.57,136.00
320011,诺安中小盘精选混合,22.65,22.79,33.38,22.43,175.35
213008,宝盈资源优选混合,4.00,3.34,16.46,21.85,149.42
160512,博时卓越品牌混合(LOF),38.95,31.24,27.66,23.06,141.43
460005,华泰柏瑞价值增长混合,9.40,26.15,29.38,22.56,300.38
519668,银河竞争优势成长混合,10.69,13.79,16.25,22.45,304.83
519674,银河创新成长混合,5.25,9.94,13.09,21.72,117.00
570005,诺德成长优势混合,10.32,26.67,29.38,21.91,142.59
519097,新华中小市值优选混合,11.57,22.15,24.61,21.69,120.39
630010,华商价值精选混合,-7.43,5.06,15.33,20.84,117.97
660005,农银中小盘混合,0.21,14.08,9.18,20.78,139.04
200010,长城双动力混合,11.32,16.85,20.24,21.46,124.88
160212,国泰估值优势混合 (LOF),26.53,43.26,31.57,21.62,128.00
100026,富国天合稳健混合,14.64,14.50,22.59,20.68,396.45
166005,中欧价值发现混合 -A,31.17,23.86,24.94,20.88,130.72
233007,大摩卓越成长混合,14.93,21.01,20.52,21.49,147.64
090015,大成内需增长混合A,8.17,20.06,19.01,21.07,123.70
260101,景顺长城优选混合,19.61,16.24,15.04,20.85,702.50
550008,信诚优胜精选混合,17.70,15.10,17.96,20.42,97.27
161219,国投瑞银新兴产业混合(LOF),9.98,27.60,21.27,20.74,161.74
340008,兴全有机增长混合,7.12,22.93,17.12,20.65,175.61
519095,新华行业周期轮换混合,14.37,10.86,20.48,20.69,154.29
519091,新华泛资源优势混合,40.85,26.45,26.60,20.45,131.70
410007,华富价值增长混合,9.86,18.12,19.81,20.67,77.75
040015,华安动态灵活配置混合,16.75,21.70,22.16,20.07,113.66
630001,华商领先企业混合,12.89,7.34,15.03,18.99,134.99
110013,易方达科翔混合,8.41,18.81,22.50,19.75,238.98
161810,银华内需精选混合(LOF),10.77,20.13,24.16,19.64,65.88
165512,信诚新机遇混合(LOF),15.74,12.78,15.87,19.67,113.30
020010,国泰金牛创新混合,22.42,13.55,14.49,19.40,145.46
540002,汇丰晋信龙腾混合,26.30,17.25,23.51,19.83,392.50
270025,广发行业领先混合A,0.58,9.27,19.45,19.32,80.64
540003,汇丰晋信动态策略混合A,16.68,20.37,24.87,19.40,149.93
100056,富国低碳环保混合,1.81,15.64,20.54,19.76,113.30
360011,光大保德信动态优选混合,15.82,13.93,19.00,19.20,131.63
519993,长信增利动态策略混合,11.73,24.00,22.12,18.79,236.44
377240,上投摩根新兴动力混合A,8.12,5.87,6.34,19.02,107.80
398061,中海消费混合,10.63,8.45,16.64,19.42,144.86
070013,嘉实研究精选混合A,9.61,9.00,17.32,19.28,286.92
260116,景顺长城核心竞争力混合A,17.98,4.57,14.06,18.49,154.07
610006,信达澳银产业升级混合,20.07,14.95,23.23,19.21,95.95
166002,中欧新蓝筹混合 -A,15.64,22.46,20.36,19.01,231.30
070022,嘉实领先成长混合,8.81,20.29,21.70,19.27,123.70
519979,长信内需成长混合,-1.09,11.82,10.42,18.81,102.38
202011,南方优选价值混合A,12.69,16.11,20.79,18.83,247.29
420003,天弘永定价值成长混合,48.27,24.01,26.16,19.03,155.78
166001,中欧新趋势混合(LOF) -A,17.78,25.93,22.82,18.74,81.75
163409,兴全绿色投资混合(LOF),10.98,6.23,12.77,18.78,113.94
020001,国泰金鹰增长混合,21.65,20.16,17.61,18.90,937.78
257040,国联安红利混合,2.32,12.09,17.11,18.46,144.51
206009,鹏华新兴产业混合,9.67,15.05,19.34,18.67,118.40
257020,国联安精选混合,9.62,19.37,18.31,18.35,572.09
519113,浦银安盛精致生活混合,5.70,26.19,17.69,18.82,103.49
519068,汇添富成长焦点混合,9.62,22.96,23.62,18.52,185.62
090007,大成策略回报混合,23.68,19.03,22.15,18.71,273.22
040016,华安行业轮动混合,24.49,24.57,28.43,18.83,104.31
270028,广发制造业精选混合,12.81,16.09,18.20,18.84,129.90
240009,华宝兴业先进成长混合,-3.12,6.68,12.72,18.15,246.34
590005,中邮核心主题混合,3.13,5.95,17.51,18.23,97.79
270008,广发核心精选混合,15.33,19.51,11.02,17.42,236.27
161005,富国天惠成长混合(LOF),10.77,12.85,20.10,17.57,792.14
340007,兴全社会责任混合,8.86,14.05,18.12,17.78,195.34
160505,博时主题行业混合(LOF),23.34,12.77,28.93,18.47,980.44
160215,国泰价值经典混合(LOF),25.25,23.67,28.11,18.15,81.23
020023,国泰事件驱动策略混合,26.09,7.85,9.92,17.94,108.80
163805,中银动态策略混合,8.79,9.89,18.20,17.81,158.14
360012,光大保德信中小盘混合,20.78,25.17,21.53,17.17,82.22
240008,华宝兴业收益增长混合,15.66,10.00,7.51,17.82,480.70
050014,博时创业成长混合A,22.27,22.10,22.99,17.61,97.99
080005,长盛量化红利混合,11.11,17.86,22.97,17.86,107.31
519110,浦银安盛价值成长混合A,3.75,-3.97,13.67,17.78,64.35
202019,南方策略优化混合,34.17,30.62,34.53,18.08,63.43
257010,国联安小盘精选混合,10.03,16.61,21.95,17.41,406.84
530003,建信优选成长混合A,9.75,14.32,21.93,17.28,287.98
519672,银河蓝筹混合,13.71,10.57,12.80,17.17,79.10
040011,华安核心混合,28.60,19.16,25.51,17.37,174.22
470006,汇添富医药保健混合A,4.44,4.87,6.69,16.94,62.73
519700,交银主题优选混合,23.90,27.87,32.84,17.25,93.47
660001,农银行业成长混合A,5.05,4.31,5.88,17.05,233.21
163804,中银收益混合A,6.11,9.27,11.03,16.69,296.06
519066,汇添富蓝筹稳健混合,9.56,20.30,20.63,16.92,202.16
165508,信诚深度价值混合(LOF),8.19,6.75,12.63,17.06,75.60
519702,交银趋势优先混合,24.21,27.45,26.88,16.62,68.92
630006,华商产业升级混合,21.25,12.97,17.17,16.96,38.99
020015,国泰区位优势混合,13.49,18.80,15.67,16.83,128.77
519692,交银成长混合A,17.44,15.52,13.22,16.56,444.77
020003,国泰金龙行业混合,22.09,37.41,25.32,16.90,750.43
257070,国联安优选行业混合,-8.79,2.10,9.05,16.63,84.08
163402,兴全趋势投资混合(LOF),14.02,17.38,24.98,16.89,1104.52
160613,鹏华盛世创新混合(LOF),18.69,16.73,20.52,16.73,154.94
110011,易方达中小盘混合,30.59,17.88,23.35,15.94,208.12
519099,新华灵活主题混合,12.52,6.67,11.82,16.15,72.96
550009,信诚中小盘混合,-3.42,2.91,12.86,16.55,65.98
160916,大成优选混合(LOF),19.32,16.50,25.33,16.24,77.65
320012,诺安主题精选混合,6.75,5.27,17.61,16.05,71.79
360007,光大保德信优势配置混合,13.29,13.31,18.53,16.34,32.96
377530,上投摩根行业轮动混合A,0.06,4.29,6.69,16.20,67.60
260112,景顺长城能源基建混合,17.82,20.89,26.76,15.59,107.49
233001,大摩基础行业混合,20.55,22.86,23.99,16.27,134.19
206007,鹏华消费优选混合,14.96,6.09,14.94,16.04,61.40
360005,光大保德信红利混合,13.89,13.67,19.91,16.03,453.01
590003,中邮核心优势灵活配置混合,4.44,13.34,15.76,15.79,105.09
570006,诺德中小盘混合,1.25,5.06,12.36,15.98,64.22
519008,汇添富优势精选混合,3.29,10.23,15.47,15.66,781.21
110029,易方达科讯混合,-10.69,-1.94,4.10,15.30,33.91
090011,大成核心双动力混合,20.48,16.84,20.53,15.85,61.09
519093,新华钻石品质企业混合,9.49,3.31,18.65,15.69,86.90
420005,天弘周期策略混合,3.08,8.43,13.48,15.28,72.96
202005,南方成份精选混合,22.37,15.23,28.89,15.66,78.19
160106,南方高增长混合(LOF),13.56,7.20,14.04,15.37,561.61
519181,万家和谐增长混合,17.67,23.03,17.17,15.31,96.42
180013,银华领先策略混合,7.05,12.20,19.62,15.82,179.72
460009,华泰柏瑞量化先行混合,30.72,26.70,23.39,15.85,76.66
519991,长信双利优选混合,6.78,1.30,7.82,15.17,106.63
320016,诺安多策略混合,18.21,14.26,17.14,14.80,64.90
519017,大成积极成长混合,13.35,21.31,23.42,15.34,158.27
290011,泰信中小盘精选混合,8.28,7.01,18.63,15.58,108.13
260115,景顺长城中小盘混合,15.17,13.18,9.29,15.16,57.55
070027,嘉实周期优选混合,19.34,6.95,19.13,15.30,112.91
460002,华泰柏瑞积极成长混合A,0.08,3.09,18.91,14.85,59.34
233006,大摩领先优势混合,18.57,18.43,16.99,15.32,88.66
288002,华夏收入混合,15.89,12.68,18.79,14.76,926.14
290008,泰信发展主题混合,6.08,6.46,11.63,14.81,56.37
519115,浦银安盛红利精选混合,13.66,10.61,9.95,15.18,50.60
090001,大成价值增长混合,21.11,21.25,26.22,14.72,693.81
400011,东方核心动力混合,18.20,19.47,19.47,15.29,50.29
040020,华安升级主题混合,18.38,10.98,13.95,14.25,58.63
240004,华宝兴业动力组合混合,22.66,14.69,17.69,14.87,616.80
257030,国联安优势混合,16.11,11.25,15.40,14.46,105.91
180012,银华富裕主题混合,37.77,19.17,20.22,14.51,287.32
002031,华夏策略混合,16.65,16.25,14.90,14.15,323.00
213003,宝盈策略增长混合,-0.03,0.27,17.83,13.86,97.07
160314,华夏行业混合(LOF),8.24,9.27,12.72,14.31,56.69
163807,中银优选混合,10.81,3.06,11.30,13.93,107.59
550003,信诚盛世蓝筹混合,20.82,18.82,16.02,14.05,216.85
180018,银华和谐主题混合,12.31,2.39,11.10,14.05,98.24
690004,民生加银稳健成长混合,12.85,11.48,16.09,14.18,30.00
410006,华富策略精选混合,15.13,13.32,17.56,14.53,71.28
410001,华富竞争力优选混合,6.28,2.96,9.84,13.80,218.06
690001,民生加银品牌蓝筹混合,8.06,25.65,19.25,14.31,82.96
070017,嘉实量化阿尔法混合,22.59,23.28,20.39,13.68,72.21
630008,华商策略精选混合,10.38,4.36,13.79,13.46,38.20
690007,民生加银景气行业混合,26.38,18.76,20.42,13.67,101.70
550002,信诚精萃成长混合,3.96,10.85,12.21,13.83,238.48
070099,嘉实优质企业混合,5.81,15.65,14.68,13.70,58.38
180010,银华优质增长混合,17.87,7.30,9.27,13.40,357.34
400015,东方增长中小盘混合,2.52,3.86,9.61,14.60,98.82
460007,华泰柏瑞行业领先混合,2.92,-1.23,9.20,13.75,23.20
270021,广发聚瑞混合,4.71,-0.67,0.82,12.54,77.80
660004,农银策略价值混合,13.88,9.82,8.13,12.82,64.78
217010,招商大盘蓝筹混合,3.14,2.89,18.38,13.75,123.61
110015,易方达行业领先混合,11.28,12.02,10.83,13.04,100.12
040004,华安宝利配置混合,11.52,11.24,18.71,13.71,801.12
519688,交银精选混合,18.92,21.82,15.86,13.46,448.28
710001,富安达优势成长混合,3.73,12.81,12.46,13.43,77.16
450002,国富弹性市值混合,22.41,19.56,16.79,13.65,452.66
162201,泰达宏利成长混合,-0.86,-3.12,2.88,13.24,697.52
400007,东方策略成长混合,12.03,9.27,23.65,13.74,149.01
162605,景顺长城鼎益混合(LOF),18.29,10.25,11.00,13.23,482.82
481015,工银主题策略混合,-2.78,2.34,8.58,13.51,85.60
160105,南方积极配置混合(LOF),18.75,13.83,16.58,13.31,412.34
688888,浙商聚潮产业成长混合,15.19,23.96,20.63,13.59,61.50
550001,信诚四季红混合,6.83,11.33,14.56,13.20,267.77
202003,南方绩优成长混合A,11.00,12.56,13.18,13.31,260.70
070021,嘉实主题新动力混合,11.30,13.37,11.51,13.20,47.80
481010,工银瑞信中小盘混合,2.59,9.37,15.63,13.04,42.70
260104,景顺长城内需增长混合,10.98,-0.29,-0.99,13.19,784.36
519698,交银先锋混合,9.02,11.10,12.62,13.36,85.88
519987,长信恒利优势混合,9.06,4.29,11.36,12.60,23.45
150103,银河银泰混合,2.25,5.32,10.85,12.73,511.46
040008,华安策略优选混合,13.16,13.34,18.61,13.08,11.24
630002,华商盛世成长混合,-12.46,1.64,11.00,12.25,270.81
310328,申万菱信新动力混合,10.36,6.47,16.47,12.89,288.01
571002,诺德主题灵活配置混合,7.53,16.53,18.54,12.95,108.10
519039,长盛同德主题混合,6.44,11.12,17.18,12.87,36.33
161609,融通动力先锋混合,13.55,4.40,10.65,12.85,139.40
690005,民生加银内需增长混合,16.80,12.59,16.26,12.73,41.10
020009,国泰金鹏蓝筹混合,18.66,9.67,18.51,12.76,250.39
160311,华夏蓝筹混合(LOF),9.43,6.76,12.99,12.46,88.41
260110,景顺长城精选蓝筹混合,16.25,-0.10,9.32,12.48,24.76
481013,工银消费服务混合,16.96,14.28,14.51,12.36,52.40
410003,华富成长趋势混合,1.06,5.14,12.93,12.81,21.31
260109,景顺长城内需增长贰号混合,10.53,-0.30,-1.08,12.56,319.90
470028,汇添富社会责任混合,-4.03,0.30,11.83,12.34,52.60
090004,大成精选增值混合,26.17,15.09,15.02,12.38,539.00
210003,金鹰行业优势混合,11.15,16.70,20.31,12.07,40.27
202009,南方盛元红利混合,5.20,16.29,16.76,12.11,47.44
160603,鹏华普天收益混合,14.59,14.76,16.69,12.25,619.36
530006,建信核心精选混合,0.93,6.17,12.38,11.91,191.80
290006,泰信蓝筹精选混合,1.45,0.63,12.40,11.61,84.33
519021,国泰金鼎价值混合,4.55,9.90,10.37,11.99,92.91
360010,光大保德信均衡精选混合,25.70,26.56,19.04,12.24,79.95
240010,华宝兴业行业精选混合,5.06,5.15,7.13,11.61,40.66
100039,富国通胀通缩主题混合,4.47,3.69,16.02,11.63,46.20
040007,华安中小盘成长混合,16.77,15.72,19.33,12.15,62.62
530005,建信优化配置混合,6.27,4.68,11.79,11.87,91.02
470008,汇添富策略回报混合,7.45,10.86,13.56,11.73,64.54
580008,东吴新产业精选混合,-7.97,0.79,6.41,11.41,67.50
213002,宝盈泛沿海增长混合,10.23,6.65,12.89,11.31,160.28
400003,东方精选混合,6.01,9.64,13.93,11.68,627.74
730001,方正富邦创新动力混合,-7.28,6.85,11.37,11.85,77.48
100022,富国天瑞强势地区精选混合,23.49,13.25,14.73,11.39,601.50
519001,银华核心价值优选混合,2.59,7.18,12.44,11.47,653.13
519087,新华优选分红混合,-0.18,-4.17,13.12,11.43,445.66
090009,大成行业轮动混合,27.86,13.02,16.35,11.65,38.60
360006,光大保德信新增长混合,14.96,8.32,13.97,11.32,250.42
540004,汇丰晋信2026周期混合,5.38,8.21,7.30,11.24,108.12
240005,华宝兴业多策略股票,22.31,12.71,12.11,10.83,432.84
163803,中银持续增长混合A,4.14,2.77,8.83,11.01,330.53
002011,华夏红利混合,5.16,8.02,11.58,10.96,789.95
210001,金鹰成份股优选混合,8.41,15.61,14.74,11.13,280.82
070011,嘉实策略增长混合,-2.95,0.13,8.52,10.88,130.05
270007,广发大盘成长混合,11.28,12.64,15.24,10.83,7.51
580007,东吴新创业混合,3.79,5.82,8.38,10.41,48.16
160607,鹏华价值优势混合(LOF),16.01,6.15,18.28,11.34,319.30
519690,交银稳健配置混合A,4.30,5.55,13.13,10.61,321.24
000031,华夏复兴混合,5.60,6.36,7.17,10.85,82.80
580005,东吴进取策略混合,12.26,5.06,8.23,10.58,52.03
379010,上投摩根中小盘混合,-0.17,1.92,9.34,10.26,82.27
070019,嘉实价值优势混合,11.66,5.94,8.66,10.66,56.91
530011,建信内生动力混合,12.16,2.98,14.13,10.80,42.26
519018,汇添富均衡增长混合,1.75,6.96,10.15,10.52,240.94
050004,博时精选混合A,18.94,12.21,18.70,10.69,414.51
100020,富国天益价值混合,14.00,5.60,13.36,10.42,748.26
163801,中银中国混合(LOF),4.26,2.40,5.20,10.48,607.01
