基金代码,基金名称,一年排名,一年百分比排名,两年排名,两年百分比排名,三年排名,三年百分比排名,五年排名,五年百分比排名
519983,长信量化先锋混合A,8,1.37,2,0.37,1,0.21,1,0.27
470009,汇添富民营活力混合A,472,80.55,63,11.62,41,8.70,2,0.53
160211,国泰中小盘成长混合(LOF),43,7.34,7,1.29,26,5.52,3,0.80
163406,兴全合润分级混合,202,34.47,23,4.24,9,1.91,4,1.06
519704,交银先进制造混合,15,2.56,6,1.11,11,2.34,5,1.33
233009,大摩多因子精选策略混合,45,7.68,15,2.77,4,0.85,6,1.60
040025,华安科技动力混合,9,1.54,20,3.69,44,9.34,7,1.86
210004,金鹰稳健成长混合,1,0.17,12,2.21,7,1.49,8,2.13
166009,中欧新动力混合(LOF) -A,54,9.22,36,6.64,36,7.64,9,2.39
519185,万家精选混合,27,4.61,3,0.55,69,14.65,10,2.66
519069,汇添富价值精选混合A,117,19.97,48,8.86,13,2.76,11,2.93
519670,银河行业混合,331,56.48,346,63.84,243,51.59,12,3.19
240017,华宝兴业新兴产业混合,483,82.42,344,63.47,371,78.77,13,3.46
630005,华商动态阿尔法混合,316,53.92,176,32.47,114,24.20,14,3.72
320011,诺安中小盘精选混合,91,15.53,65,11.99,5,1.06,15,3.99
213008,宝盈资源优选混合,369,62.97,379,69.93,148,31.42,16,4.26
160512,博时卓越品牌混合(LOF),4,0.68,18,3.32,32,6.79,17,4.52
460005,华泰柏瑞价值增长混合,293,50.00,29,5.35,21,4.46,18,4.79
519668,银河竞争优势成长混合,289,49.32,124,22.88,181,38.43,19,5.05
519674,银河创新成长混合,363,61.95,197,36.35,234,49.68,20,5.32
570005,诺德成长优势混合,225,38.40,33,6.09,16,3.40,21,5.59
519097,新华中小市值优选混合,277,47.27,70,12.92,46,9.77,22,5.85
630010,华商价值精选混合,534,91.13,282,52.03,186,39.49,23,6.12
660005,农银中小盘混合,467,79.69,162,29.89,328,69.64,24,6.38
200010,长城双动力混合,255,43.52,122,22.51,90,19.11,25,6.65
160212,国泰估值优势混合 (LOF),38,6.48,1,0.18,8,1.70,26,6.91
100026,富国天合稳健混合,144,24.57,139,25.65,71,15.07,27,7.18
166005,中欧价值发现混合 -A,32,5.46,47,8.67,42,8.92,28,7.45
233007,大摩卓越成长混合,197,33.62,90,16.61,102,21.66,29,7.71
090015,大成内需增长混合A,272,46.42,85,15.68,116,24.63,30,7.98
260101,景顺长城优选混合,88,15.02,135,24.91,215,45.65,31,8.24
550008,信诚优胜精选混合,100,17.06,147,27.12,132,28.03,32,8.51
161219,国投瑞银新兴产业混合(LOF),364,62.12,24,4.43,85,18.05,33,8.78
340008,兴全有机增长混合,361,61.60,62,11.44,154,32.70,34,9.04
519095,新华行业周期轮换混合,193,32.94,262,48.34,109,23.14,35,9.31
519091,新华泛资源优势混合,3,0.51,40,7.38,39,8.28,36,9.57
410007,华富价值增长混合,269,45.90,108,19.93,121,25.69,37,9.84
040015,华安动态灵活配置混合,111,18.94,79,14.58,81,17.20,38,10.11
630001,华商领先企业混合,216,36.86,304,56.09,196,41.61,39,10.37
110013,易方达科翔混合,286,48.81,81,14.94,68,14.44,40,10.64
161810,银华内需精选混合(LOF),281,47.95,82,15.13,54,11.46,41,10.90
165512,信诚新机遇混合(LOF),189,32.25,188,34.69,194,41.19,42,11.17
020010,国泰金牛创新混合,77,13.14,174,32.10,212,45.01,43,11.44
540002,汇丰晋信龙腾混合,56,9.56,149,27.49,70,14.86,44,11.70
270025,广发行业领先混合A,469,80.03,275,50.74,111,23.57,45,11.97
540003,汇丰晋信动态策略混合A,154,26.28,93,17.16,48,10.19,46,12.23
100056,富国低碳环保混合,450,76.79,89,16.42,95,20.17,47,12.50
360011,光大保德信动态优选混合,169,28.84,158,29.15,117,24.84,48,12.77
519993,长信增利动态策略混合,230,39.25,46,8.49,73,15.50,49,13.03
377240,上投摩根新兴动力混合A,296,50.51,303,55.90,374,79.41,50,13.30
398061,中海消费混合,336,57.34,231,42.62,172,36.52,51,13.56
070013,嘉实研究精选混合A,287,48.98,269,49.63,151,32.06,52,13.83
260116,景顺长城核心竞争力混合A,127,21.67,369,68.08,221,46.92,53,14.10
610006,信达澳银产业升级混合,85,14.51,167,30.81,64,13.59,54,14.36
166002,中欧新蓝筹混合 -A,198,33.79,66,12.18,92,19.53,55,14.63
070022,嘉实领先成长混合,275,46.93,88,16.24,84,17.83,56,14.89
519979,长信内需成长混合,503,85.84,179,33.03,314,66.67,57,15.16
202011,南方优选价值混合A,222,37.88,137,25.28,96,20.38,58,15.43
420003,天弘永定价值成长混合,2,0.34,58,10.70,37,7.86,59,15.69
166001,中欧新趋势混合(LOF) -A,146,24.91,42,7.75,67,14.23,60,15.96
163409,兴全绿色投资混合(LOF),234,39.93,352,64.94,242,51.38,61,16.22
020001,国泰金鹰增长混合,63,10.75,97,17.90,144,30.57,62,16.49
257040,国联安红利混合,424,72.35,151,27.86,155,32.91,63,16.76
206009,鹏华新兴产业混合,247,42.15,148,27.31,118,25.05,64,17.02
257020,国联安精选混合,239,40.78,99,18.27,136,28.87,65,17.29
519113,浦银安盛精致生活混合,332,56.66,25,4.61,157,33.33,66,17.55
519068,汇添富成长焦点混合,320,54.61,45,8.30,58,12.31,67,17.82
090007,大成策略回报混合,81,13.82,109,20.11,80,16.99,68,18.09
040016,华安行业轮动混合,65,11.09,52,9.59,27,5.73,69,18.35
270028,广发制造业精选混合,223,38.05,115,21.22,130,27.60,70,18.62
240009,华宝兴业先进成长混合,519,88.57,257,47.42,268,56.90,71,18.88
590005,中邮核心主题混合,468,79.86,350,64.58,149,31.63,72,19.15
270008,广发核心精选混合,141,24.06,83,15.31,291,61.78,73,19.41
161005,富国天惠成长混合(LOF),254,43.34,172,31.73,99,21.02,74,19.68
340007,兴全社会责任混合,282,48.12,157,28.97,139,29.51,75,19.95
160505,博时主题行业混合(LOF),98,16.72,196,36.16,29,6.16,76,20.21
160215,国泰价值经典混合(LOF),46,7.85,53,9.78,30,6.37,77,20.48
020023,国泰事件驱动策略混合,34,5.80,276,50.92,306,64.97,78,20.74
163805,中银动态策略混合,329,56.14,255,47.05,138,29.30,79,21.01
360012,光大保德信中小盘混合,87,14.85,38,7.01,83,17.62,80,21.28
240008,华宝兴业收益增长混合,242,41.30,242,44.65,373,79.19,81,21.54
050014,博时创业成长混合A,64,10.92,80,14.76,76,16.14,82,21.81
080005,长盛量化红利混合,273,46.59,102,18.82,61,12.95,83,22.07
519110,浦银安盛价值成长混合A,409,69.80,476,87.82,238,50.53,84,22.34
202019,南方策略优化混合,18,3.07,19,3.51,3,0.64,85,22.61
257010,国联安小盘精选混合,305,52.05,136,25.09,72,15.29,86,22.87
530003,建信优选成长混合A,244,41.64,165,30.44,77,16.35,87,23.14
519672,银河蓝筹混合,194,33.11,216,39.85,228,48.41,88,23.40
040011,华安核心混合,51,8.70,104,19.19,45,9.55,89,23.67
470006,汇添富医药保健混合A,372,63.48,377,69.56,378,80.25,90,23.94
519700,交银主题优选混合,72,12.29,32,5.90,6,1.27,91,24.20
660001,农银行业成长混合A,417,71.16,403,74.35,391,83.01,92,24.47
163804,中银收益混合A,382,65.19,244,45.02,303,64.33,93,24.73
519066,汇添富蓝筹稳健混合,347,59.22,49,9.04,91,19.32,94,25.00
165508,信诚深度价值混合(LOF),250,42.66,339,62.55,257,54.56,95,25.27
519702,交银趋势优先混合,44,7.51,26,4.80,33,7.01,96,25.53
630006,华商产业升级混合,86,14.68,143,26.38,168,35.67,97,25.80
020015,国泰区位优势混合,109,18.60,98,18.08,185,39.28,98,26.06
519692,交银成长混合A,130,22.18,134,24.72,239,50.74,99,26.33
020003,国泰金龙行业混合,69,11.77,4,0.74,43,9.13,100,26.60
257070,国联安优选行业混合,541,92.32,315,58.12,327,69.43,101,26.86
163402,兴全趋势投资混合(LOF),251,42.83,126,23.25,53,11.25,102,27.13
160613,鹏华盛世创新混合(LOF),112,19.11,140,25.83,98,20.81,103,27.39
110011,易方达中小盘混合,35,5.97,118,21.77,62,13.16,104,27.66
519099,新华灵活主题混合,206,35.15,327,60.33,266,56.48,105,27.93
550009,信诚中小盘混合,501,85.49,410,75.65,254,53.93,106,28.19
160916,大成优选混合(LOF),102,17.41,111,20.48,47,9.98,107,28.46
320012,诺安主题精选混合,360,61.43,355,65.50,142,30.15,108,28.72
360007,光大保德信优势配置混合,214,36.52,180,33.21,129,27.39,109,28.99
377530,上投摩根行业轮动混合A,474,80.89,380,70.11,377,80.04,110,29.26
260112,景顺长城能源基建混合,148,25.26,60,11.07,31,6.58,111,29.52
233001,大摩基础行业混合,74,12.63,64,11.81,56,11.89,112,29.79
206007,鹏华消费优选混合,150,25.60,301,55.54,201,42.68,113,30.05
360005,光大保德信红利混合,199,33.96,177,32.66,103,21.87,114,30.32
590003,中邮核心优势灵活配置混合,380,64.85,182,33.58,188,39.92,115,30.59
570006,诺德中小盘混合,460,78.50,347,64.02,255,54.14,116,30.85
519008,汇添富优势精选混合,400,68.26,233,42.99,189,40.13,117,31.12
110029,易方达科讯混合,554,94.54,432,79.70,396,84.08,118,31.38
090011,大成核心双动力混合,138,23.55,131,24.17,97,20.59,119,31.65
519093,新华钻石品质企业混合,326,55.63,433,79.89,128,27.18,120,31.91
420005,天弘周期策略混合,415,70.82,306,56.46,235,49.89,121,32.18
202005,南方成份精选混合,90,15.36,152,28.04,23,4.88,122,32.45
160106,南方高增长混合(LOF),191,32.59,298,54.98,223,47.35,123,32.71
519181,万家和谐增长混合,188,32.08,71,13.10,174,36.94,124,32.98
180013,银华领先策略混合,356,60.75,238,43.91,110,23.35,125,33.24
460009,华泰柏瑞量化先行混合,28,4.78,37,6.83,63,13.38,126,33.51
519991,长信双利优选混合,420,71.67,442,81.55,357,75.80,127,33.78
320016,诺安多策略混合,125,21.33,141,26.01,150,31.85,128,34.04
519017,大成积极成长混合,168,28.67,69,12.73,59,12.53,129,34.31
290011,泰信中小盘精选混合,280,47.78,336,61.99,120,25.48,130,34.57
260115,景顺长城中小盘混合,151,25.77,191,35.24,330,70.06,131,34.84
070027,嘉实周期优选混合,133,22.70,360,66.42,113,23.99,132,35.11
460002,华泰柏瑞积极成长混合A,502,85.67,440,81.18,126,26.75,133,35.37
233006,大摩领先优势混合,105,17.92,117,21.59,159,33.76,134,35.64
288002,华夏收入混合,180,30.72,198,36.53,123,26.11,135,35.90
290008,泰信发展主题混合,354,60.41,362,66.79,289,61.36,136,36.17
519115,浦银安盛红利精选混合,178,30.38,213,39.30,322,68.37,137,36.44
090001,大成价值增长混合,68,11.60,77,14.21,40,8.49,138,36.70
400011,东方核心动力混合,201,34.30,106,19.56,125,26.54,139,36.97
040020,华安升级主题混合,62,10.58,203,37.45,220,46.71,140,37.23
240004,华宝兴业动力组合混合,67,11.43,154,28.41,131,27.81,141,37.50
257030,国联安优势混合,153,26.11,250,46.13,193,40.98,142,37.77
180012,银华富裕主题混合,16,2.73,101,18.63,93,19.75,143,38.03
002031,华夏策略混合,208,35.49,128,23.62,208,44.16,144,38.30
213003,宝盈策略增长混合,441,75.26,427,78.78,119,25.27,145,38.56
160314,华夏行业混合(LOF),344,58.70,279,51.48,251,53.29,146,38.83
163807,中银优选混合,279,47.61,407,75.09,298,63.27,147,39.10
550003,信诚盛世蓝筹混合,94,16.04,92,16.97,187,39.70,148,39.36
180018,银华和谐主题混合,267,45.56,428,78.97,292,62.00,149,39.63
690004,民生加银稳健成长混合,209,35.67,183,33.76,170,36.09,150,39.89
410006,华富策略精选混合,308,52.56,207,38.19,156,33.12,151,40.16
410001,华富竞争力优选混合,366,62.46,399,73.62,320,67.94,152,40.43
690001,民生加银品牌蓝筹混合,359,61.26,43,7.93,105,22.29,153,40.69
070017,嘉实量化阿尔法混合,71,12.12,57,10.52,101,21.44,154,40.96
630008,华商策略精选混合,278,47.44,378,69.74,233,49.47,155,41.22
690007,民生加银景气行业混合,47,8.02,113,20.85,108,22.93,156,41.49
550002,信诚精萃成长混合,394,67.24,270,49.82,272,57.75,157,41.76
070099,嘉实优质企业混合,341,58.19,129,23.80,204,43.31,158,42.02
180010,银华优质增长混合,137,23.38,305,56.27,319,67.73,159,42.29
400015,东方增长中小盘混合,482,82.25,385,71.03,340,72.19,160,42.55
460007,华泰柏瑞行业领先混合,396,67.58,468,86.35,332,70.49,161,42.82
270021,广发聚瑞混合,427,72.87,451,83.21,432,91.72,162,43.09
660004,农银策略价值混合,212,36.18,228,42.07,354,75.16,163,43.35
217010,招商大盘蓝筹混合,470,80.20,436,80.44,143,30.36,164,43.62
110015,易方达行业领先混合,213,36.35,169,31.18,294,62.42,165,43.88
040004,华安宝利配置混合,207,35.32,240,44.28,134,28.45,166,44.15
519688,交银精选混合,83,14.16,68,12.55,179,38.00,167,44.41
710001,富安达优势成长混合,345,58.87,138,25.46,244,51.80,168,44.68
450002,国富弹性市值混合,89,15.19,95,17.53,175,37.15,169,44.95
162201,泰达宏利成长混合,451,76.96,461,85.06,412,87.47,170,45.21
400007,东方策略成长混合,227,38.74,271,50.00,74,15.71,171,45.48
162605,景顺长城鼎益混合(LOF),104,17.75,220,40.59,296,62.85,172,45.74
