基金代码,基金名称,一年回报率,两年回报率,三年回报率,五年回报率,总回报率
213006,宝盈核心优势灵活配置混合A,-4.26,-2.11,16.36,22.42,134.62
519697,交银优势行业混合,25.04,30.94,34.84,22.54,198.12
210002,金鹰红利价值混合,11.76,26.56,26.04,21.08,202.66
070001,嘉实成长收益混合A,9.16,22.87,21.37,20.13,915.96
320006,诺安灵活配置混合,18.82,15.86,26.58,19.45,273.59
202023,南方优选成长混合,12.41,17.81,20.79,18.86,99.30
590006,中邮中小盘灵活配置混合,6.40,9.32,20.97,17.96,91.20
217001,招商安泰混合,11.45,13.64,21.82,17.38,488.65
255010,国联安稳健混合,12.85,14.52,19.63,16.42,353.43
080001,长盛成长价值混合,11.97,15.70,19.55,16.42,627.65
151001,银河稳健混合,13.39,16.51,15.35,16.18,767.35
373020,上投摩根双核平衡混合,17.11,16.43,16.63,16.62,127.48
070002,嘉实增长混合,8.57,15.20,19.85,15.88,1140.54
110001,易方达平稳增长混合,6.16,13.34,16.52,15.27,497.46
400001,东方龙混合,14.52,18.34,23.51,14.89,410.70
373010,上投摩根双息平衡混合A,2.61,6.73,8.54,14.44,257.87
100029,富国天成红利混合,9.28,9.03,13.59,14.36,158.08
121006,国投瑞银稳健增长混合,10.51,20.97,17.40,14.44,185.15
720001,财通价值动量混合,-1.96,10.31,22.72,14.23,106.90
290005,泰信优势增长混合,-2.73,1.89,3.37,13.34,119.47
350001,天治财富增长混合,-2.53,5.20,13.01,13.50,272.05
240001,华宝兴业宝康消费品混合,-0.67,8.10,8.71,12.97,695.84
080002,长盛创新先锋混合,-4.58,4.01,11.13,12.99,154.57
163810,中银价值精选灵活配置混合,6.65,2.58,11.34,13.10,45.43
660003,农银平衡双利混合,13.13,11.09,10.94,12.91,93.75
162102,金鹰中小盘精选混合,8.04,10.55,14.26,12.60,356.09
270002,广发稳健增长混合,9.44,19.31,14.06,12.05,627.84
530016,建信恒稳价值混合,10.30,4.09,11.77,12.31,85.49
050022,博时回报混合,15.09,7.69,12.58,12.41,80.21
002021,华夏回报二号混合,11.83,8.90,8.50,11.77,358.73
002001,华夏回报混合A,11.51,8.30,8.03,11.44,792.52
450001,国富中国收益混合,15.07,12.78,15.78,11.37,254.97
162207,泰达宏利效率优选混合(LOF),6.68,-6.79,3.51,10.47,168.01
673010,西部利得新动向混合,-4.14,5.76,13.88,10.57,48.43
240002,华宝兴业宝康配置混合,5.22,8.66,12.09,10.00,459.48
161605,融通蓝筹成长混合,1.92,6.43,11.60,10.37,316.43
310308,申万菱信盛利精选混合,4.92,2.83,7.60,9.66,345.38
121002,国投瑞银景气行业混合,5.00,7.22,9.52,9.76,437.41
180001,银华优势企业混合,3.01,4.94,10.98,9.69,474.52
260103,景顺长城动力平衡混合,19.24,7.34,7.98,8.67,308.81
070003,嘉实稳健混合,7.92,5.07,11.54,8.31,313.88
519003,海富通收益增长混合,25.34,18.63,9.33,8.40,237.63
519011,海富通精选混合,13.41,11.27,9.01,7.01,478.29
180020,银华成长先锋混合,-4.20,-1.19,3.75,6.97,14.62
163809,中银蓝筹精选灵活配置混合,-0.25,-2.44,2.67,7.09,20.81
070018,嘉实回报混合,15.03,7.65,10.39,6.98,26.15
519015,海富通精选贰号混合,13.56,10.76,8.71,6.59,44.33
217005,招商先锋混合,2.67,6.40,9.21,6.21,240.30
288001,华夏经典配置混合,-1.20,-6.81,-3.78,5.86,349.38
270001,广发聚富混合,5.74,3.24,3.82,5.77,414.79
320001,诺安平衡混合,-5.64,-6.61,5.53,5.69,291.00
620001,金元顺安宝石动力混合,-2.48,-2.89,5.79,5.14,2.03
040001,华安创新混合,-0.55,1.65,3.67,4.54,313.91
161601,融通新蓝筹混合,-10.92,-5.80,1.43,3.90,325.75
620002,金元顺安成长动力混合,-8.45,-5.78,3.48,3.75,16.23
050007,博时平衡配置混合,3.79,-7.19,1.53,2.87,153.44
398051,中海环保新能源混合,-3.25,-7.84,0.47,2.02,-13.70
050001,博时价值增长混合,7.37,-0.13,5.25,1.54,316.69
050201,博时价值增长贰号混合,5.92,-2.40,3.45,-0.06,87.60
217021,招商优势企业混合,14.85,14.57,18.26,15.00,101.10
