基金代码,基金名称,晨星代码,三年评级,五年评级,波动幅度,波动幅度评价,晨星风险系数,晨星风险系数评价,夏普比率,夏普比率评价
000471,富国城镇发展股票,0P00011MXO,0,0,36.17,高,21.37,高,0.95,高
161613,融通创业板指数,0P0000VJQD,1,0,42.06,高,27.92,高,0.28,低
159915,易方达创业板ETF,0P0000TS9U,1,4,40.87,高,26.18,高,0.33,低
540010,汇丰晋信科技先锋股票,0P0000TITD,1,3,44.25,高,28.18,高,0.36,低
159906,大成深证成长40ETF,0P0000RT0V,2,2,29.76,偏低,19.05,中,0.34,低
159918,嘉实中创400ETF,0P0000VDVH,2,0,40.89,高,26.30,高,0.43,低
090012,大成深证成长40ETF联接,0P0000RT0W,2,1,30.23,中,20.01,中,0.33,低
161022,富国创业板指数分级,0P0000Z9U1,1,0,41.92,高,26.61,高,0.27,低
110026,易方达创业板ETF联接,0P0000TS9V,1,3,40.18,高,27.28,高,0.23,低
070030,嘉实中创400ETF联接,0P0000VDVI,2,0,39.10,高,25.52,高,0.39,低
340006,兴全全球视野股票,F00000040Q,4,5,28.86,偏低,19.14,中,0.55,偏低
160219,国泰国证医药卫生行业指数分级,0P0000Z6UO,2,0,29.53,偏低,19.48,中,0.35,低
161910,万家中证创业成长指数分级,0P0000WEJZ,1,0,35.90,高,24.19,高,0.19,低
159921,诺安中小板等权重ETF,0P0000X9Y9,2,0,32.90,高,21.27,高,0.34,低
163209,诺安中证创业成长指数分级,0P0000VGFG,1,0,33.48,高,22.89,高,0.21,低
206010,鹏华深证民营ETF联接,0P0000TPZ0,2,2,30.01,中,20.86,中,0.30,低
159911,鹏华深证民营ETF,0P0000TPYZ,2,2,31.46,中,21.70,高,0.33,低
360001,光大保德信量化股票,F0000003WJ,4,5,29.87,中,19.32,中,0.67,高
270026,广发中小板300ETF联接,0P0000T1UI,2,2,35.03,高,23.45,高,0.36,低
159907,广发中小板300ETF,0P0000SYA0,2,2,36.26,高,23.29,高,0.45,低
